"Time / Date",Username,Action,"List of Data Changes OR Fields Exported",Record
"2026-05-25 07:41",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-25 07:40",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-25 07:39",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-25 07:36",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-25 07:36",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-25 07:16",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-25 07:14",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-25 07:14",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-25 07:14",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-25 07:14",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-25 07:14",iruomalove@gmail.com,"Manage/Design ","Delete section header",
"2026-05-22 15:37",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-22 15:17",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-22 15:17",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-22 15:16",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-22 14:45",iruomalove@gmail.com,"Create record 5 (Screening)","d1_healthy_volunteer_eligibility_complete = '0', site_id = '5'",5
"2026-05-22 14:14",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-22 14:10",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-22 14:08",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-22 14:08",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-22 14:04",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-22 14:01",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:50",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:48",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:46",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:43",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:42",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-22 13:41",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-12 09:12",iruomalove@gmail.com,"Create record 4 (Day 0 - Dosing)","diary_date = '2026-05-12', diary_day = '1', sym_headache = '0', sym_fatigue = '1', sym_nausea = '1', sym_insomnia = '0', sym_mood = '0', sym_appetite = '0', sym_gi = '0', sym_other = '1', sym_other_details = 'my eyes where spinning, few hours after i took the medication ', diary_medication = '0', diary_completed_by = '1', d7_volunteer_symptom_diary_complete = '2', site_id = '4'",4
"2026-05-12 09:10",iruomalove@gmail.com,"Create record 3 (Day 0 - Dosing)","ae_any = '1', ae_term = 'dizziness', ae_onset_date = '2026-05-12', ae_onset_time = '16:04', ae_resolution_date = '2026-05-12', ae_ongoing = '0', ae_ctcae_grade = '1', ae_relatedness = '3', ae_outcome = '1', ae_action = '1', ae_treatment = 'no medication was administered, symptoms resolved after 4 hours.  subject recovered without the need for hospitalization. ', is_sae = '0', ae_pi_signoff = 'sc', d6_adverse_events_and_saes_complete = '2', site_id = '3'",3
"2026-05-12 09:01",iruomalove@gmail.com,"Update record 2 (Screening)",,2
"2026-05-12 09:00",iruomalove@gmail.com,"Create record 2 (Screening)","d5_lab_collection_date = '2026-05-12', d5_lab_collection_time = '15:43', d5_fasting_status = '0', d5_sbp = '120', d5_dbp = '87', d5_hr = '77', d5_temp = '35.5', d5_rr = '15', d5_spo2 = '100', d5_hb = '12.8', d5_wcc = '10.5', d5_neutrophils = '5.5', d5_lymphocytes = '3.4', d5_platelets = '300', d5_alt = '37', d5_ast = '26', d5_bilirubin = '0.8', d5_alp = '100', d5_albumin = '40', d5_creatinine = '46.7', d5_urea = '4.9', d5_egfr = '92', d5_sodium = '135', d5_potassium = '4.6', d5_chloride = '103', d5_glucose = '4', d5_any_lab_abnormal = '0', d5_pi_signoff = 'sc', d5_safety_labs_and_vitals_complete = '0', site_id = '2'",2
"2026-05-12 08:42",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-12 08:21",iruomalove@gmail.com,"Update record 1 (Screening)","family_history = '0'",1
"2026-05-12 08:20",iruomalove@gmail.com,"Update record 1 (Screening)",,1
"2026-05-12 08:20",iruomalove@gmail.com,"Update record 1 (Screening)","initials = 'sc', race = '1', ethnicity = '3', country_birth = '126', sbp_screen = '120', dbp_screen = '90', hr_screen = '87', temp_screen = '35.5', rr_screen = '12', spo2_screen = '99', pmh_any = '0', surgery_any = '0', allergy_any = '0', med_any = '0', alcohol_units = '0', caffeine_cups = '1', exercise_freq = '4', vaccine_uptodate = '1', recent_vaccine = '0', pi_assessment = 'this volunteer appears to be in good health, and no discrepancies noted ', d2_demographics_and_medical_history_complete = '2'",1
"2026-05-12 08:14",iruomalove@gmail.com,"Create record 1 (Screening)","screening_date = '2026-05-12', screened_by = 'SC', dob = '1999-05-10', age_years = '27', sex_at_birth = '2', weight_kg = '96.1', height_cm = '175', bmi = '31.4', i1_age = '1', i2_bmi = '1', i3_health = '1', i6_comply = '1', i7_consent = '1', e1_cyp3a4 = '0', e2_meds = '0', e3_diabetes = '0', e4_immune = '0', e5_pregnancy = '0', e6_allergy = '0', e7_smoking = '0', e8_alcohol = '0', e9_previoustrial = '0', eligibility_determination = '1', d1_healthy_volunteer_eligibility_complete = '0', site_id = '1'",1
"2026-05-11 13:14",iruomalove@gmail.com,"Manage/Design ","Download instrument-event mappings",
"2026-05-11 13:10",iruomalove@gmail.com,"Manage/Design ","Perform instrument-event mappings",
"2026-05-11 12:58",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-11 12:56",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 12:08",iruomalove@gmail.com,"Manage/Design ","Download instrument-event mappings",
"2026-05-11 12:08",iruomalove@gmail.com,"Manage/Design ","Perform instrument-event mappings",
"2026-05-11 08:15",iruomalove@gmail.com,"Manage/Design ","Create event (Event: Day 7 follow-up, Days Offset: 10, Offset Range: -0/+0)",
"2026-05-11 08:13",iruomalove@gmail.com,"Manage/Design ","Reorder events",
"2026-05-11 08:12",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+48h, Days Offset: 9, Offset Range: -0/+0)",
"2026-05-11 08:12",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+24h, Days Offset: 8, Offset Range: -0/+0)",
"2026-05-11 08:11",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+8h, Days Offset: 7, Offset Range: -0/+0)",
"2026-05-11 08:11",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+4h, Days Offset: 6, Offset Range: -0/+0)",
"2026-05-11 08:11",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+2h, Days Offset: 5, Offset Range: -0/+0)",
"2026-05-11 08:10",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+1h, Days Offset: 4, Offset Range: -0/+0)",
"2026-05-11 08:09",iruomalove@gmail.com,"Manage/Design ","Create event (Event: PK T+30min, Days Offset: 3, Offset Range: -0/+0)",
"2026-05-11 08:08",iruomalove@gmail.com,"Manage/Design ","Edit event (Event: Day 0 - Dosing, Days Offset: 2, Offset Range: -0/+0)",
"2026-05-11 08:08",iruomalove@gmail.com,"Manage/Design ","Edit event (Event: Screening, Days Offset: 1, Offset Range: -0/+0)",
"2026-05-11 07:59",iruomalove@gmail.com,"Manage/Design ","Edit event (Event: Screening, Days Offset: 1, Offset Range: -0/+0)",
"2026-05-11 07:59",iruomalove@gmail.com,"Manage/Design ","Edit event (Event: Day 0 - Dosing, Days Offset: 2, Offset Range: -0/+0)",
"2026-05-11 07:57",iruomalove@gmail.com,"Manage/Design ","Create event (Event: Screening, Days Offset: 2, Offset Range: -0/+0)",
"2026-05-11 06:59",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:59",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:58",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:58",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:58",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:58",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 06:58",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-11 04:58",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:50",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:49",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-11 04:48",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:46",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:46",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:45",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-11 04:45",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:45",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-11 04:44",iruomalove@gmail.com,"Manage/Design ","Upload data dictionary",
"2026-05-09 08:43",iruomalove@gmail.com,"Manage/Design ","Download data entry form as PDF",
"2026-05-09 08:35",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:35",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-09 08:34",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:34",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:33",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-09 08:31",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-09 08:31",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-09 08:30",iruomalove@gmail.com,"Manage/Design ","Delete project field",
"2026-05-09 08:29",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:29",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:25",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:24",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:22",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 08:21",iruomalove@gmail.com,"Manage/Design ","Upload data dictionary",
"2026-05-09 07:15",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-09 07:12",iruomalove@gmail.com,"Manage/Design ","Upload data dictionary",
"2026-05-07 14:53",iruomalove@gmail.com,"Manage/Design ","Export entire logging record",
"2026-05-07 14:14",iruomalove@gmail.com,"Manage/Design ","Download all data entry forms as PDF",
"2026-05-07 14:12",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:12",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:11",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:11",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:10",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:09",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:09",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:09",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:08",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:07",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:06",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:06",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:05",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:04",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:04",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:04",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:03",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:03",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:03",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:02",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:02",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:01",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:01",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:00",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 14:00",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 13:58",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 13:57",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-07 13:55",iruomalove@gmail.com,"Manage/Design ","Upload data dictionary",
"2026-05-07 13:23",iruomalove@gmail.com,"Manage/Design ","Download data dictionary",
"2026-05-06 14:53",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:52",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:51",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:51",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:49",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:47",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:45",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:44",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:43",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 14:43",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:42",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 14:41",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:39",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:38",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:37",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:36",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 14:36",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:33",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:33",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:32",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 14:31",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:31",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:29",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 14:28",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:26",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:25",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:24",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:21",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:20",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:19",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 14:18",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:17",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:16",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 14:13",iruomalove@gmail.com,"Manage/Design ","Create data collection instrument",
"2026-05-06 11:24",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 09:02",iruomalove@gmail.com,"Manage/Design ","Move project field",
"2026-05-06 09:01",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 08:59",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 08:58",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 08:57",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 08:56",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 08:56",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 08:55",iruomalove@gmail.com,"Manage/Design ","Add/edit branching logic",
"2026-05-06 08:54",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 08:53",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 08:53",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 08:52",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 08:51",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 07:29",iruomalove@gmail.com,"Manage/Design ","Edit project field",
"2026-05-06 07:28",iruomalove@gmail.com,"Manage/Design ","Create project field",
"2026-05-06 07:27",iruomalove@gmail.com,"Manage/Design ","Edit project field",
